TrainSize,TrainMean,TrainStd,TestMean,TestStd
40,0.8047469999004232,0.25855070475639247,0.010079606482909531,1.1069526730727293
58,0.7625491156037081,0.2599377721987967,-0.10675910707755905,0.9654508790075023
77,0.8254841196527544,0.15524381155736255,0.029319413457287925,0.8028574708995013
96,0.8921928651018514,0.05722077919215713,-0.11054690675662626,1.3410632037916521
115,0.8965286075606013,0.07062292313807528,0.08568281173555868,1.4814187088552266
134,0.8762916006831322,0.05686564196530488,0.4460681117176888,0.5299007824731297
153,0.8854872066105285,0.06551549107549229,0.30393327994961605,0.7192495925638445
172,0.8792758306810258,0.07494030474744497,0.45080989786098263,0.4639276309476224
191,0.8663992154241764,0.07795839156604684,0.6045057959812531,0.20165978578149946
210,0.8672898207562871,0.05715811963789131,0.567327108679059,0.25341397104421576
229,0.8608117507449773,0.05285814355428253,0.49243660870731587,0.662519916495512
248,0.8689972227270388,0.049412950993387036,0.7412569334225912,0.15252801980571543
267,0.8807288976181675,0.028684750891063194,0.6632020433442565,0.16669279530898726
286,0.8888400477101799,0.031191479759491263,0.5897580479201017,0.3153480842620586
305,0.8847094654445534,0.02867699143647909,0.6706051995677552,0.20574584446192004
324,0.8673716629266005,0.03612108729329417,0.7183877120871707,0.1351346952800067
343,0.8658527579260437,0.03404180467716015,0.6962790792398763,0.1590139007566591
362,0.8696032563118283,0.027841476205701612,0.693339046421437,0.15574288384500498
381,0.8690245275375957,0.026669863588198128,0.6850626354663534,0.16829928616501907
400,0.8691394717844261,0.023128836990031775,0.6897771436424104,0.17901652995929315
