TrainSize,TrainMean,TrainStd,TestMean,TestStd
8,0.9970864295619497,0.00485457531922112,0.872047731136294,0.19530327210443107
11,0.9981336026377526,0.0016697967483674,0.965484375043473,0.035311972135329855
15,0.9974219762591844,0.0014149985204283087,0.9689859399980623,0.04489238417877248
19,0.9972624100201817,0.0011191613096999502,0.9790480840079956,0.028282521117694012
23,0.9969941102056243,0.0008982338629680769,0.9775253075929051,0.039174685625477275
26,0.9967744142401955,0.0010608516232003971,0.9806734602752887,0.030490235231298776
30,0.9966497873367868,0.0010967657880273946,0.9798136858765017,0.0323617187609366
34,0.996207660523192,0.0011300067663994155,0.983030285784406,0.02308423418944806
38,0.9962228830967422,0.001232177523788962,0.9902679615392991,0.007799846710894925
42,0.9959860091377439,0.0016352630990554508,0.9904104391483262,0.009332019746125133
45,0.9959234357096515,0.0015108055874701418,0.9912771680191594,0.008462116018764216
49,0.9958873979240366,0.001271999246861169,0.9912284924639303,0.008673215040823731
53,0.9958533829844081,0.0011940033054590763,0.9933836681509314,0.0052240110388494096
57,0.9958313277478117,0.0011976840720708641,0.9930536351942546,0.005221501833398866
61,0.9958927033772207,0.0011858925389299014,0.9927805448625578,0.005689935010518447
64,0.9957884884914634,0.0011692136937693181,0.9931901315954764,0.005167872858474044
68,0.9955977796924795,0.0011231735063463024,0.9930067617504861,0.005244682199632643
72,0.9956066566961039,0.0008444772375091051,0.9925297372940889,0.006120541298791446
76,0.995598861933823,0.0007864797201879873,0.9926453523918622,0.006146066531988917
80,0.9956878697158942,0.0006891200238897866,0.9941952682802965,0.003987539966856945
