TrainSize,TrainMean,TrainStd,TestMean,TestStd
40,0.9992751105172436,0.00022816542655510274,0.9970910698308721,0.0011925072989890904
58,0.999141389546703,0.0002955791136750756,0.9974189483161998,0.001063661470612012
77,0.9990494990423734,0.0002515374668445374,0.997964204353158,0.000843730364676989
96,0.9989413894725452,0.0002587008186903096,0.998179894506751,0.0005715388185150863
115,0.9989360509656355,0.00022436867957414649,0.998275520707056,0.0005512534328208182
134,0.9989055229842861,0.00022651380782670464,0.9982518577072726,0.0006359437714822499
153,0.998938183992738,0.00021529125875588501,0.9983132998212854,0.0006368659163680013
172,0.9989567631626084,0.00017479457017950694,0.998413760416649,0.0005907453366467782
191,0.9989713530051277,0.00017793757404149162,0.9984287169070599,0.0005621895448808658
210,0.9989696728738192,0.0001539381012535589,0.998457506856915,0.0005167212866306305
229,0.9989482329854942,0.00015660318188371133,0.9984803583188244,0.000503752358768735
248,0.9989364327893243,0.00015486767888478473,0.9985117303956453,0.0004899639288487484
267,0.9989521137628896,0.00013707879529102586,0.9985334660693533,0.00046686567721886926
286,0.9989301406792478,0.00012849494712561583,0.9985490020849461,0.00045553746799901384
305,0.9989344567032548,0.00013942706504925772,0.9985757165092339,0.0004467964270655729
324,0.9989402345890909,0.00012185401050140608,0.9985845457004802,0.0004465214550319741
343,0.9989425019018242,0.00010399770786741765,0.998603179947738,0.000457918262678841
362,0.9989414672999997,9.942425709625367e-05,0.9986242366926991,0.00045041197769989165
381,0.9989305089750372,9.635310809380794e-05,0.9986210858348225,0.00046011800485259904
400,0.998939014950067,9.025210895458489e-05,0.9986334932009197,0.00043875433955051875
