TrainSize,TrainMean,TrainStd,TestMean,TestStd
8,0.9970864295966931,0.0048545751442582805,0.8720477289095948,0.1953032792147222
11,0.9981336026503426,0.0016697966811492738,0.9654843727329109,0.03531197201782944
15,0.9974219762636378,0.0014149985114858732,0.9689859391097967,0.04489238563507618
19,0.9972624099731918,0.0011191613085490795,0.9790480852291777,0.028282517712779537
23,0.9969941102327262,0.0008982338906876961,0.9775253114390464,0.03917467864748035
26,0.996774414252758,0.0010608516168871286,0.980673458509048,0.03049023889098777
30,0.9966497873292883,0.0010967657940574905,0.9798136854752739,0.032361719213631325
34,0.996207660491962,0.0011300067825148355,0.9830302881150896,0.023084227797984743
38,0.9962228831140534,0.0012321775153127264,0.9902679607416707,0.00779984763810428
42,0.9959860091662971,0.0016352631146867714,0.9904104394945173,0.00933201982608457
45,0.9959234356971332,0.0015108056028214716,0.9912771680650986,0.008462116012503565
49,0.99588739794339,0.0012719992644571786,0.9912284949149666,0.008673209139252113
53,0.9958533830146086,0.0011940032614557448,0.9933836682404106,0.0052240110054337105
57,0.9958313277492268,0.0011976840658804078,0.9930536351333498,0.00522150194310142
61,0.9958927033919744,0.0011858925038354248,0.9927805447314263,0.0056899351980693345
64,0.995788488447668,0.001169213820533146,0.9931901316468735,0.005167872686254566
68,0.9955977797208708,0.0011231735278134166,0.9930067618869076,0.005244682159111263
72,0.9956066566413402,0.0008444772980462263,0.992529737290565,0.006120541011295295
76,0.9955988619624883,0.0007864797005509359,0.9926453535943196,0.006146063945870898
80,0.9956878697975864,0.0006891200189822993,0.9941952683566516,0.003987540014607757
