TrainSize,TrainMean,TrainStd,TestMean,TestStd
40,0.9983955764584473,0.0008834764231095489,0.9952388856311103,0.002053781135744793
58,0.9984685718771715,0.0005487198926621312,0.9958885817463653,0.0014641835491979967
77,0.9983079834546279,0.00048380812117433507,0.9965370447071592,0.0004600989609150204
96,0.9982267343466141,0.00043369380513602954,0.9967744943886918,0.000573122755741693
115,0.9980243766622834,0.0004532667298655276,0.9969982714426366,0.0006045038489701451
134,0.9980374972387496,0.0003288655809488041,0.9971766143861155,0.0006455789953208637
153,0.9979584901245682,0.00035493604163695677,0.9972285793128949,0.0006724211303180293
172,0.9979405927487333,0.00025099075328667586,0.9972824398243688,0.0005751419571636815
191,0.9979313812527384,0.0002137291367455252,0.9972806419222877,0.0005154165964983362
210,0.9978920917513519,0.00016815588237624644,0.9973554926775605,0.000513219591790778
229,0.9978681856937749,0.00019136031483094404,0.9974341945780374,0.0005288972947955584
248,0.9979221185179743,0.00017264401964477881,0.9974785713374207,0.00050868802532022
267,0.9979266915261127,0.0001906589564156205,0.9975046288253125,0.0005709021417263419
286,0.9979425418108626,0.00021309068068645117,0.9975613167212847,0.00054066777053064
305,0.9979466960329886,0.00019462454699671253,0.9975956531054717,0.0005414471326477486
324,0.9979443921765185,0.00021361296154343354,0.9976417546543086,0.0005504165917065169
343,0.997944932581639,0.00017458897761391415,0.9976923058084293,0.0005656142787364202
362,0.9979536815410448,0.00014207895135548814,0.9977424603182801,0.000572688664287791
381,0.9979347618999335,0.00015942399058461326,0.9977711330746055,0.0005612704217455647
400,0.9979022141795048,0.00016654738605030976,0.9977807787268311,0.0005774734018849342
