distance_0,distance_1,distance_2,Vol,Err,Coord_1,Coord_2,Coord_3
2.2092237477604315,2.917596525879673,3.909310005940204,6.233151843077518,0.020767712253777014,"[2.4328137518755337, 5.914708221726399, 0]","[3.5251924681792346, 2.161121475331576, 0]","[4.415219215675463, 4.939650200496465, 0]"
2.730307245975732,3.6954618649388795,3.7357484753714965,3.1575518430775205,0.021265166976849256,"[6.403538843201343, 3.419926246093048, 0]","[4.016977177236608, 2.0936905687056466, 0]","[3.5797559327157997, 5.803765265336448, 0]"
2.1691318962900277,2.2124812011978827,3.414931387498498,8.606331843077516,0.020312007049386332,"[6.984884109684963, 6.9578995415150935, 0]","[6.130548033763914, 4.917021560097819, 0]","[3.99645303068932, 5.305314878807809, 0]"
2.5229457902133854,2.7308917518671803,3.8063380151748794,5.821851843077514,0.020840183755871253,"[6.829858014477916, 7.80618532733605, 0]","[7.3719733112202945, 5.342171028393496, 0]","[4.736305737335791, 4.627310062617652, 0]"
3.0787676368779744,3.2291709055220554,3.6342137672773553,3.2609718430775203,0.021250075356762384,"[5.9169321068064855, 5.94742661564537, 0]","[6.833418656712751, 2.430672130312455, 0]","[3.849800093291064, 3.6658097765185937, 0]"
2.2043981432957303,2.369094633278267,3.522642350135998,7.944151843077513,0.020445725007435665,"[7.056607658843414, 7.364072575099077, 0]","[7.00829042279784, 5.160204017569709, 0]","[4.671221340660251, 4.771980516549412, 0]"
3.280039444442254,3.4793988431986844,3.606711669667004,2.2665118430775166,0.021390609422080525,"[3.909348672146688, 3.491325753885312, 0]","[7.157095435153884, 3.9504550608058504, 0]","[5.230105386050676, 6.847509713502199, 0]"
3.2346360006730865,3.772545596750569,3.957820465314735,1.4286518430775175,0.02150116150996685,"[2.15067661368543, 3.0023633917722896, 0]","[4.160994364121354, 5.536429807463209, 0]","[6.039132184375596, 2.2646262363891827, 0]"
2.3424778976120404,2.9714374933798284,3.3820303698210745,6.11947184307752,0.02078793081319254,"[4.006161710523096, 7.9669929659592436, 0]","[6.235131400919485, 5.423408184261119, 0]","[3.931886215836258, 4.9964839308017295, 0]"
2.0541288224846763,3.173057512367533,3.7033642498278154,6.229091843077519,0.020768436827068137,"[7.787516458055491, 6.617419026279501, 0]","[4.62124482062873, 6.824826583564412, 0]","[7.563305588216256, 4.575563324911695, 0]"
2.535958013236333,3.451665223461313,3.8649565407031194,4.02225184307752,0.021135539267027943,"[5.889993978787482, 2.1709330981463486, 0]","[3.0975021316904385, 4.199721430809167, 0]","[4.958863052114226, 5.922050832757784, 0]"
2.8426073227462454,3.0871274766878773,3.6603143255411834,4.1123718430775185,0.021121576154124484,"[3.500738770499696, 5.783996026862874, 0]","[6.273824117688656, 4.427399655598692, 0]","[6.873531392722436, 7.206026578307485, 0]"
2.0280925163560988,3.1238601538846416,3.997226270623355,6.351211843077518,0.020746561958984916,"[6.64638716445002, 2.324708281183872, 0]","[6.6068953509230095, 4.3524162610379635, 0]","[3.516964872367164, 4.811580609305358, 0]"
2.4662439709929527,3.084220754125428,3.909459874095555,4.982971843077522,0.020982221919998843,"[6.1354542296306205, 6.708625628127398, 0]","[2.2443983338887845, 7.087519443563769, 0]","[3.5647769076032967, 5.004502461747558, 0]"
2.654860872104253,3.0602144178146924,3.6890313723973205,4.654671843077516,0.021035726681464563,"[3.2716321557110226, 3.5271061054222814, 0]","[4.998481760935872, 6.053546827848932, 0]","[2.5810329036003608, 7.150919723631122, 0]"
2.331932205880582,2.9965234606173565,3.689868513492776,5.757831843077518,0.02085129555668712,"[3.36087357608192, 2.149617980061983, 0]","[3.450930457547704, 4.479810583887627, 0]","[6.356868371885455, 2.20590326720127, 0]"
2.603892297759438,3.6655370877991835,3.973045043464909,3.3042718430775153,0.021243723691360704,"[3.142361110479397, 5.542145259790586, 0]","[7.090512973438277, 5.986199067808719, 0]","[6.209990237768367, 3.5357022181271476, 0]"
2.0708826902044244,2.148217527686425,3.495316397555638,9.054671843077518,0.02021850665645908,"[3.0050841660559144, 5.989798061925742, 0]","[5.045651861475651, 5.636756142321711, 0]","[5.494166663561311, 3.5358817961102966, 0]"
2.1097284080797287,2.7548598078498796,3.22491508054579,7.583251843077516,0.020516437197819704,"[2.1733013036984024, 4.632499052799648, 0]","[4.3918540198949705, 6.973033419603197, 0]","[2.32240525789159, 7.383320852144461, 0]"
2.0730842893623356,2.8459840207980616,3.0439104430066193,7.69819184307752,0.02049408109261598,"[3.0394163547717774, 2.91471059047728, 0]","[5.960951605134819, 2.060297010335372, 0]","[4.425329712058556, 4.456437750805926, 0]"
2.136625700911656,2.2774201093845554,2.9554886976755186,9.032251843077518,0.020223239788621405,"[3.1932584669906654, 3.880470238299493, 0]","[3.758802372389336, 6.781344853506802, 0]","[5.103305188665594, 5.12077821442801, 0]"
2.06472896791686,2.8157265953532993,3.8432083395216194,6.986471843077517,0.020630064198787167,"[3.693799678091646, 3.6066357563482905, 0]","[3.2294855689153503, 7.421693127999252, 0]","[2.055007490967222, 4.862607841378435, 0]"
2.2676908649117817,2.920868807651597,3.050216300825345,6.998451843077515,0.020627823324647708,"[2.8023832635382098, 4.91821464796101, 0]","[3.501299419943958, 7.754231361209907, 0]","[5.059944526897607, 5.132315093975177, 0]"
2.1495380714217376,2.4663411755657867,3.2673758503754815,8.083051843077516,0.02041810466265858,"[6.2397184555781875, 5.307388993683436, 0]","[7.571251658674261, 3.231369214552241, 0]","[5.758882413985416, 2.0755873833239304, 0]"
2.819058280004544,3.549044829815497,3.911442572863017,2.9113318430775195,0.02130064958010248,"[7.860345232669326, 7.725034497795726, 0]","[6.938614612304459, 4.297771469149995, 0]","[5.041295155918555, 7.718233701250323, 0]"
2.661017908433386,2.83065060814145,3.7451267088660596,5.149171843077518,0.020954691150176372,"[7.8545635683222175, 4.320903432719008, 0]","[5.101774531547089, 3.6615587699043175, 0]","[4.666896674232039, 6.286801150756086, 0]"
2.3216381078957733,3.143958767631105,3.2273789321660233,6.117731843077518,0.020788239162062763,"[2.5258762523265657, 4.511049209189666, 0]","[4.459557727228336, 2.032067021640468, 0]","[4.727339129325205, 5.248317617051239, 0]"
2.186373515773791,2.382966958473621,3.8754901228764553,7.9119318430775145,0.02045209968510617,"[2.8355220586392957, 7.3741166299402625, 0]","[3.9067424726725672, 5.468148116287575, 0]","[2.549941699593248, 3.509162871996955, 0]"
2.5177039314357756,2.9924898182647564,3.868948317048199,5.090591843077519,0.020964429033053105,"[3.7161436720631698, 7.249215040287773, 0]","[2.4181956330368775, 4.552860797906769, 0]","[5.960610881216702, 6.108513487118972, 0]"
2.5289638937755803,3.0871976556660763,3.0957193515766415,5.90419184307752,0.020825825612414986,"[7.152810151559801, 2.761610533879222, 0]","[4.6615435771854274, 4.599290908463191, 0]","[4.131655193518839, 2.1264632402105574, 0]"
2.3815275116149537,2.8942100742976744,3.001488443036722,6.838151843077519,0.020657672414279397,"[7.654820974118936, 5.347648788286658, 0]","[5.474276969876006, 3.285087099695692, 0]","[4.768381847040766, 5.559594818771698, 0]"
3.6613053701333755,3.669910825890069,3.9659623340237684,0.766851843077518,0.021583485220382736,"[3.0884704306122153, 2.0295491189656065, 0]","[6.005493066180105, 4.256480732996376, 0]","[2.776964926801857, 5.983258966183927, 0]"
2.0218191860773125,3.503523887583892,3.8652739510463903,5.559571843077521,0.0208854206018859,"[3.506921412217452, 3.149987801777681, 0]","[6.981541406284196, 2.700882549411857, 0]","[3.9660597540544775, 5.118983689088132, 0]"
2.900657910346801,3.3250897124368732,3.486295233908989,3.701611843077515,0.021184522622660157,"[6.887626113268175, 6.99803264557162, 0]","[7.2994704268950095, 3.698546949726468, 0]","[4.49992458618131, 4.457730325861704, 0]"
2.1135971579516997,2.951549236149398,3.377303430073076,6.858311843077516,0.020653934517955653,"[4.1723375049179365, 5.604531403869012, 0]","[6.748343403856057, 3.420413259761562, 0]","[4.757177603067349, 2.7115044504842567, 0]"
2.3454603821850086,2.613393305263362,3.652315217886414,6.792291843077514,0.020666158218147854,"[3.8466037941219633, 4.617996879440305, 0]","[5.007678782611008, 2.580083908897988, 0]","[7.377112860136413, 3.682629472698729, 0]"
3.0885591495087814,3.177871620738395,3.869204036486215,3.046771843077522,0.021281209235024218,"[7.258508581661382, 4.5020315281663255, 0]","[7.359483064874496, 7.58893965341953, 0]","[4.198121207612395, 5.3581256577198575, 0]"
2.395487245112581,2.7116005891793504,2.9618334619779074,7.279691843077515,0.020574746107126573,"[3.2188356812090544, 4.181897386704904, 0]","[5.097625529218085, 5.668002311841506, 0]","[2.804095696341314, 7.114549463144239, 0]"
3.5274392889578556,3.6428563330018897,3.922708683165027,1.0604518430775158,0.021547503769134838,"[2.017247960125139, 5.856826140598824, 0]","[5.552821677426241, 6.734391381718619, 0]","[4.955480732046524, 3.2578972090992586, 0]"
2.1711003087950536,2.24376453412756,2.6032651751361007,9.625471843077516,0.02009594355660067,"[4.145650050663853, 3.2032712169332838, 0]","[5.0823355401647845, 5.161917903961952, 0]","[6.714904883241684, 3.622698418425816, 0]"
2.5222796134213743,2.575558843644919,3.357828509315908,6.637331843077519,0.020694655460923236,"[6.330727049315668, 2.3029272952173336, 0]","[7.498477428526251, 4.598545383866029, 0]","[4.253819691086771, 3.734133176149822, 0]"
3.153235915776908,3.179641789398406,3.3360135983691594,3.6926718430775196,0.021185872833217895,"[2.886431008678376, 3.1676620736887933, 0]","[2.179549025955113, 6.240643460395629, 0]","[5.271709011645915, 5.499921831319392, 0]"
2.3354474071801095,3.893200058417664,3.933569691338711,3.891931843077522,0.02115557884080509,"[7.143576953245158, 4.753888030831827, 0]","[3.309409172765289, 5.632596143772977, 0]","[3.5290282732077936, 3.3074978571568776, 0]"
2.3783622577214256,3.3408975878185543,3.8411127752338894,4.7304518430775175,0.021023479530298497,"[2.2093348349815938, 2.1538158592416554, 0]","[5.159560530490935, 4.613554808321703, 0]","[2.9213594491939574, 5.417957038946904, 0]"
2.028287664219332,3.817140518558576,3.95782307959459,5.013851843077518,0.02097712934951968,"[7.517541049855635, 2.685683271624128, 0]","[7.392985600166243, 4.710142900457706, 0]","[3.7350562617457688, 3.198879692245995, 0]"
2.5668538692304437,2.6562151578219106,3.72849128290704,5.922091843077517,0.020822694349769435,"[6.592423817027552, 4.850918591868818, 0]","[6.092446693946825, 7.368608338914553, 0]","[3.4778042015307378, 6.900501939155837, 0]"
2.2802064068064376,3.1728426515308388,3.251774386285522,6.095971843077514,0.02079209244948858,"[4.126484594587433, 6.169051762456379, 0]","[4.355662120218904, 3.0044967932515974, 0]","[2.0285464199189103, 5.27574516732253, 0]"
2.232886836032049,2.4712286158082057,3.6597981861861624,7.494311843077519,0.020533631227622647,"[7.264286859558483, 6.504930708647, 0]","[5.202469808512364, 5.647787738926837, 0]","[3.798836670197266, 7.6816965089096625, 0]"
2.4963708795796227,2.5440266707185617,2.9653891083296218,7.436611843077518,0.020544737008538223,"[6.566263271207354, 7.213852687137803, 0]","[6.154055121319799, 4.277253122170487, 0]","[4.347939049499554, 6.068904995844605, 0]"
2.126895345956427,3.181526085146581,3.4109915493799305,6.3184918430775205,0.020752439318863697,"[3.347409027747428, 4.1977432240945465, 0]","[3.23814275901189, 2.073656433220002, 0]","[6.4087388321643965, 3.331505347379093, 0]"
3.088142658323526,3.4081934736120076,3.421858112792762,3.2321718430775164,0.021254289200236264,"[3.8848671875329055, 6.358820625010384, 0]","[7.293013273836352, 6.664848725844517, 0]","[5.532198379328355, 3.7467476890655855, 0]"
2.1688560390296048,3.2616656998327205,3.291670616448929,6.249671843077518,0.020764762091998068,"[2.555324565422239, 5.44045746578502, 0]","[2.8540844334015074, 2.1925033899473885, 0]","[4.665822204661143, 4.94072130259268, 0]"
2.147496462356544,2.384183077779685,3.015535426290889,8.669111843077516,0.02029905958412852,"[4.657389222677043, 2.0528333629320876, 0]","[2.847116572378464, 3.604362247597781, 0]","[4.426445261462616, 5.059512393689106, 0]"
2.223992696650881,2.9045755736205714,3.3458884787149907,6.7011318430775155,0.02068295547507464,"[3.522005810672327, 6.3593848505855215, 0]","[6.418051203868854, 6.581826625930093, 0]","[4.0653618142748025, 4.202788511882888, 0]"
2.7525860462271154,2.8228872460997914,2.899731132612654,6.25113184307752,0.020764501216834465,"[5.963283935062549, 4.907213545688782, 0]","[7.231689896830667, 7.514815309301117, 0]","[4.427384587859518, 7.191451523033859, 0]"
2.605228382657737,2.877396265835093,3.369556236673891,5.671671843077519,0.02086617879270855,"[5.965025232152263, 3.7675844508544785, 0]","[3.254404875997583, 2.8022106603248145, 0]","[3.015327033029835, 5.396445944721227, 0]"
2.0432457194300837,2.8104871941502045,3.6249182790737335,7.174911843077517,0.02059462655335124,"[4.862566301344385, 7.034117173703135, 0]","[6.812499977874172, 6.423697869368491, 0]","[6.225520319220374, 3.6751904291731834, 0]"
2.7845943462899014,3.2297289392932815,3.78786583304572,3.7853118430775154,0.021171840588668715,"[3.053578076903521, 5.196969293197823, 0]","[3.737076313331523, 2.040392162489891, 0]","[6.270235768709525, 3.1967090943985728, 0]"
2.1784623431219696,2.553191146380627,2.7532821385351673,8.622491843077519,0.020308678782114804,"[5.549693138754948, 5.661540342113804, 0]","[7.410316217509397, 3.632096010977052, 0]","[4.8573800473614686, 3.596013589954524, 0]"
2.4035005523490804,3.2866636669460894,3.7309111815769613,4.820211843077516,0.021008893044565675,"[4.058054278094886, 5.4655155803735544, 0]","[6.176105952102894, 4.329438113219923, 0]","[3.0141990430220273, 2.349023272050862, 0]"
2.7860184672285278,3.0583372919292016,3.3625902738478777,4.784171843077516,0.021014760168968857,"[2.3840784252611464, 3.410342414544656, 0]","[5.165708003435933, 2.1391367344802528, 0]","[4.3364249811246465, 5.397863942867387, 0]"
3.170414156953841,3.2478321083035353,3.378039172371367,3.4562918430775156,0.021221268946260495,"[2.4591004020144247, 7.989426087244137, 0]","[5.198974952818014, 6.013512097229829, 0]","[2.2930258059967943, 4.745842785973, 0]"
